epoch,train_loss,train_acc,val_loss,val_acc
1,2.5276093978881837,0.099375,2.301127515792847,0.132
2,2.3027775897979734,0.111375,2.2966384658813475,0.1505
3,2.292530256271362,0.116375,2.276119632720947,0.166
4,2.278672836303711,0.135125,2.234070753097534,0.172
5,2.2551370906829833,0.140375,2.2091235637664797,0.1975
6,2.2196055240631103,0.157625,2.1525003814697268,0.201
7,2.18594136428833,0.1665,2.1056261539459227,0.203
8,2.1571180362701416,0.16925,2.015635161399841,0.225
9,2.1282033681869508,0.178,2.0264931774139403,0.219
10,2.113289743423462,0.178625,2.006436428070068,0.25
11,2.030982799530029,0.207375,1.912854518890381,0.266
12,2.0166547183990478,0.20175,1.85011700630188,0.254
13,1.9897121534347535,0.211125,1.8401235523223878,0.2525
14,1.9873498859405518,0.219,1.8987151107788085,0.213
15,1.9691178913116456,0.213375,1.8239799814224242,0.25
16,1.929165880203247,0.227875,1.7780062084197998,0.2565
